date,date_period_text,value,data_element_text,data_measure_text,date_measure_text,data_transform_text,geo_entity_type_text,geo_entity_text,industry_text,seas_adj_text,viz_type_text
2024-05-01,Monthly,0.014227511663474912,All Employees,Level,Year-over-year,Percent change,Nation,US,Total nonfarm,Seasonally adjusted,Time series line
2024-05-01,Monthly,0.014791509254514779,All Employees,Level,Month-over-month,Percent change;Annualized,Nation,US,Total nonfarm,Seasonally adjusted,Time series line
2024-04-01,Monthly,0.014467104712749368,All Employees,Level,Year-over-year,Percent change,Nation,US,Total nonfarm,Seasonally adjusted,Time series line
2024-04-01,Monthly,0.009026637013003214,All Employees,Level,Month-over-month,Percent change;Annualized,Nation,US,Total nonfarm,Seasonally adjusted,Time series line
2024-03-01,Monthly,0.015118804415773512,All Employees,Level,Year-over-year,Percent change,Nation,US,Total nonfarm,Seasonally adjusted,Time series line
2024-03-01,Monthly,0.018932472553207402,All Employees,Level,Month-over-month,Percent change;Annualized,Nation,US,Total nonfarm,Seasonally adjusted,Time series line
2024-02-01,Monthly,0.014088957094773313,All Employees,Level,Year-over-year,Percent change,Nation,US,Total nonfarm,Seasonally adjusted,Time series line
2024-02-01,Monthly,0.017095362294148098,All Employees,Level,Month-over-month,Percent change;Annualized,Nation,US,Total nonfarm,Seasonally adjusted,Time series line
2024-01-01,Monthly,0.014659516733428024,All Employees,Level,Year-over-year,Percent change,Nation,US,Total nonfarm,Seasonally adjusted,Time series line
2024-01-01,Monthly,0.009137645873667388,All Employees,Level,Month-over-month,Percent change;Annualized,Nation,US,Total nonfarm,Seasonally adjusted,Time series line
2023-12-01,Monthly,0.01680748496786233,All Employees,Level,Year-over-year,Percent change,Nation,US,Total nonfarm,Seasonally adjusted,Time series line
2023-12-01,Monthly,0.020800711467546806,All Employees,Level,Month-over-month,Percent change;Annualized,Nation,US,Total nonfarm,Seasonally adjusted,Time series line
2023-11-01,Monthly,0.0158939109007199,All Employees,Level,Year-over-year,Percent change,Nation,US,Total nonfarm,Seasonally adjusted,Time series line
2023-11-01,Monthly,0.010863841506232097,All Employees,Level,Month-over-month,Percent change;Annualized,Nation,US,Total nonfarm,Seasonally adjusted,Time series line
2023-10-01,Monthly,0.016938140378005784,All Employees,Level,Year-over-year,Percent change,Nation,US,Total nonfarm,Seasonally adjusted,Time series line
2023-10-01,Monthly,0.014370921087651922,All Employees,Level,Month-over-month,Percent change;Annualized,Nation,US,Total nonfarm,Seasonally adjusted,Time series line
2023-09-01,Monthly,0.018376293864363236,All Employees,Level,Year-over-year,Percent change,Nation,US,Total nonfarm,Seasonally adjusted,Time series line
2023-09-01,Monthly,0.012207928540675539,All Employees,Level,Month-over-month,Percent change;Annualized,Nation,US,Total nonfarm,Seasonally adjusted,Time series line
2023-08-01,Monthly,0.018853646125543078,All Employees,Level,Year-over-year,Percent change,Nation,US,Total nonfarm,Seasonally adjusted,Time series line
2023-08-01,Monthly,0.012142509618318531,All Employees,Level,Month-over-month,Percent change;Annualized,Nation,US,Total nonfarm,Seasonally adjusted,Time series line
2023-07-01,Monthly,0.01940554985658194,All Employees,Level,Year-over-year,Percent change,Nation,US,Total nonfarm,Seasonally adjusted,Time series line
2023-07-01,Monthly,0.011453728813580755,All Employees,Level,Month-over-month,Percent change;Annualized,Nation,US,Total nonfarm,Seasonally adjusted,Time series line
2023-06-01,Monthly,0.02309111077563286,All Employees,Level,Year-over-year,Percent change,Nation,US,Total nonfarm,Seasonally adjusted,Time series line
2023-06-01,Monthly,0.019999279699153272,All Employees,Level,Month-over-month,Percent change;Annualized,Nation,US,Total nonfarm,Seasonally adjusted,Time series line
2023-05-01,Monthly,0.02450425302188397,All Employees,Level,Year-over-year,Percent change,Nation,US,Total nonfarm,Seasonally adjusted,Time series line
2023-05-01,Monthly,0.017671965250417587,All Employees,Level,Month-over-month,Percent change;Annualized,Nation,US,Total nonfarm,Seasonally adjusted,Time series line
